Data/Hora,Data,Hora,Data Hora,Mês,Dia da Semana,Dia Útil,Carga
2020-01-01 00:00:00,01-01-2020,00:00:00,01-01-2020 00:00:00,01,Quarta-Feira,Útil,39090.7475
2020-01-01 01:00:00,01-01-2020,01:00:00,01-01-2020 01:00:00,01,Quarta-Feira,Útil,39898.2485
2020-01-01 02:00:00,01-01-2020,02:00:00,01-01-2020 02:00:00,01,Quarta-Feira,Útil,39491.627
2020-01-01 03:00:00,01-01-2020,03:00:00,01-01-2020 03:00:00,01,Quarta-Feira,Útil,38276.1615
2020-01-01 04:00:00,01-01-2020,04:00:00,01-01-2020 04:00:00,01,Quarta-Feira,Útil,37286.1645
2020-01-01 05:00:00,01-01-2020,05:00:00,01-01-2020 05:00:00,01,Quarta-Feira,Útil,34980.591
2020-01-01 06:00:00,01-01-2020,06:00:00,01-01-2020 06:00:00,01,Quarta-Feira,Útil,33457.779
2020-01-01 07:00:00,01-01-2020,07:00:00,01-01-2020 07:00:00,01,Quarta-Feira,Útil,33623.387
2020-01-01 08:00:00,01-01-2020,08:00:00,01-01-2020 08:00:00,01,Quarta-Feira,Útil,34408.9295
2020-01-01 09:00:00,01-01-2020,09:00:00,01-01-2020 09:00:00,01,Quarta-Feira,Útil,35340.8245
2020-01-01 10:00:00,01-01-2020,10:00:00,01-01-2020 10:00:00,01,Quarta-Feira,Útil,36130.2525
2020-01-01 11:00:00,01-01-2020,11:00:00,01-01-2020 11:00:00,01,Quarta-Feira,Útil,36396.336
2020-01-01 12:00:00,01-01-2020,12:00:00,01-01-2020 12:00:00,01,Quarta-Feira,Útil,35949.9295
2020-01-01 13:00:00,01-01-2020,13:00:00,01-01-2020 13:00:00,01,Quarta-Feira,Útil,35597.794
2020-01-01 14:00:00,01-01-2020,14:00:00,01-01-2020 14:00:00,01,Quarta-Feira,Útil,35813.8245
2020-01-01 15:00:00,01-01-2020,15:00:00,01-01-2020 15:00:00,01,Quarta-Feira,Útil,36241.7375
2020-01-01 16:00:00,01-01-2020,16:00:00,01-01-2020 16:00:00,01,Quarta-Feira,Útil,37251.46
2020-01-01 17:00:00,01-01-2020,17:00:00,01-01-2020 17:00:00,01,Quarta-Feira,Útil,38856.2385
2020-01-01 18:00:00,01-01-2020,18:00:00,01-01-2020 18:00:00,01,Quarta-Feira,Útil,41187.818
2020-01-01 19:00:00,01-01-2020,19:00:00,01-01-2020 19:00:00,01,Quarta-Feira,Útil,44062.802
2020-01-01 20:00:00,01-01-2020,20:00:00,01-01-2020 20:00:00,01,Quarta-Feira,Útil,44890.5545
2020-01-01 21:00:00,01-01-2020,21:00:00,01-01-2020 21:00:00,01,Quarta-Feira,Útil,45373.738
2020-01-01 22:00:00,01-01-2020,22:00:00,01-01-2020 22:00:00,01,Quarta-Feira,Útil,45163.936
2020-01-01 23:00:00,01-01-2020,23:00:00,01-01-2020 23:00:00,01,Quarta-Feira,Útil,43280.9085
2020-02-01 00:00:00,01-02-2020,00:00:00,01-02-2020 00:00:00,02,Sábado,Não Útil,41511.226
2020-02-01 01:00:00,01-02-2020,01:00:00,01-02-2020 01:00:00,02,Sábado,Não Útil,39701.931
2020-02-01 02:00:00,01-02-2020,02:00:00,01-02-2020 02:00:00,02,Sábado,Não Útil,39008.291
2020-02-01 03:00:00,01-02-2020,03:00:00,01-02-2020 03:00:00,02,Sábado,Não Útil,38320.712
2020-02-01 04:00:00,01-02-2020,04:00:00,01-02-2020 04:00:00,02,Sábado,Não Útil,38012.836
2020-02-01 05:00:00,01-02-2020,05:00:00,01-02-2020 05:00:00,02,Sábado,Não Útil,37426.999
2020-02-01 06:00:00,01-02-2020,06:00:00,01-02-2020 06:00:00,02,Sábado,Não Útil,37890.661
2020-02-01 07:00:00,01-02-2020,07:00:00,01-02-2020 07:00:00,02,Sábado,Não Útil,40640.626
2020-02-01 08:00:00,01-02-2020,08:00:00,01-02-2020 08:00:00,02,Sábado,Não Útil,43678.552
2020-02-01 09:00:00,01-02-2020,09:00:00,01-02-2020 09:00:00,02,Sábado,Não Útil,45262.741
2020-02-01 10:00:00,01-02-2020,10:00:00,01-02-2020 10:00:00,02,Sábado,Não Útil,44947.482
2020-02-01 11:00:00,01-02-2020,11:00:00,01-02-2020 11:00:00,02,Sábado,Não Útil,44601.503
2020-02-01 12:00:00,01-02-2020,12:00:00,01-02-2020 12:00:00,02,Sábado,Não Útil,44270.48
2020-02-01 13:00:00,01-02-2020,13:00:00,01-02-2020 13:00:00,02,Sábado,Não Útil,45297.592
2020-02-01 14:00:00,01-02-2020,14:00:00,01-02-2020 14:00:00,02,Sábado,Não Útil,45261.175
2020-02-01 15:00:00,01-02-2020,15:00:00,01-02-2020 15:00:00,02,Sábado,Não Útil,44750.267
2020-02-01 16:00:00,01-02-2020,16:00:00,01-02-2020 16:00:00,02,Sábado,Não Útil,44573.658
2020-02-01 17:00:00,01-02-2020,17:00:00,01-02-2020 17:00:00,02,Sábado,Não Útil,43553.284
2020-02-01 18:00:00,01-02-2020,18:00:00,01-02-2020 18:00:00,02,Sábado,Não Útil,43174.485
2020-02-01 19:00:00,01-02-2020,19:00:00,01-02-2020 19:00:00,02,Sábado,Não Útil,44795.607
2020-02-01 20:00:00,01-02-2020,20:00:00,01-02-2020 20:00:00,02,Sábado,Não Útil,45907.941
2020-02-01 21:00:00,01-02-2020,21:00:00,01-02-2020 21:00:00,02,Sábado,Não Útil,46788.431
2020-02-01 22:00:00,01-02-2020,22:00:00,01-02-2020 22:00:00,02,Sábado,Não Útil,46612.263
2020-02-01 23:00:00,01-02-2020,23:00:00,01-02-2020 23:00:00,02,Sábado,Não Útil,44553.784
2020-03-01 00:00:00,01-03-2020,00:00:00,01-03-2020 00:00:00,03,Domingo,Não Útil,42963.784
2020-03-01 01:00:00,01-03-2020,01:00:00,01-03-2020 01:00:00,03,Domingo,Não Útil,40688.218
2020-03-01 02:00:00,01-03-2020,02:00:00,01-03-2020 02:00:00,03,Domingo,Não Útil,39314.468
2020-03-01 03:00:00,01-03-2020,03:00:00,01-03-2020 03:00:00,03,Domingo,Não Útil,38539.745
2020-03-01 04:00:00,01-03-2020,04:00:00,01-03-2020 04:00:00,03,Domingo,Não Útil,38366.052
2020-03-01 05:00:00,01-03-2020,05:00:00,01-03-2020 05:00:00,03,Domingo,Não Útil,37443.926
2020-03-01 06:00:00,01-03-2020,06:00:00,01-03-2020 06:00:00,03,Domingo,Não Útil,37643.621
2020-03-01 07:00:00,01-03-2020,07:00:00,01-03-2020 07:00:00,03,Domingo,Não Útil,39926.938
2020-03-01 08:00:00,01-03-2020,08:00:00,01-03-2020 08:00:00,03,Domingo,Não Útil,43155.987
2020-03-01 09:00:00,01-03-2020,09:00:00,01-03-2020 09:00:00,03,Domingo,Não Útil,44445.608
2020-03-01 10:00:00,01-03-2020,10:00:00,01-03-2020 10:00:00,03,Domingo,Não Útil,45258.54
2020-03-01 11:00:00,01-03-2020,11:00:00,01-03-2020 11:00:00,03,Domingo,Não Útil,45184.899
