Data Escala de Tempo 1 GE Simp 4;cod_aneel (tb_referenciacegusina (Usina));cod_nucleoaneel (tb_referenciacegusina (Usina));Data Dica;dsc_estado;id_subsistema;nom_tipousinasite;nom_usina2;Período Exibido GE;Selecione Tipo de GE Simp 4
;*;*;;*;Sudeste/Centro-Oeste;*;*;5;6144233397,87404
01/01/2020 00:00:00;*;*;1/1/2020 0:00;*;Sudeste/Centro-Oeste;*;*;5;39090,7475
01/01/2020 01:00:00;*;*;1/1/2020 1:00;*;Sudeste/Centro-Oeste;*;*;5;39898,2485
01/01/2020 02:00:00;*;*;1/1/2020 2:00;*;Sudeste/Centro-Oeste;*;*;5;39491,627
01/01/2020 03:00:00;*;*;1/1/2020 3:00;*;Sudeste/Centro-Oeste;*;*;5;38276,1615
01/01/2020 04:00:00;*;*;1/1/2020 4:00;*;Sudeste/Centro-Oeste;*;*;5;37286,1645
01/01/2020 05:00:00;*;*;1/1/2020 5:00;*;Sudeste/Centro-Oeste;*;*;5;34980,591
01/01/2020 06:00:00;*;*;1/1/2020 6:00;*;Sudeste/Centro-Oeste;*;*;5;33457,779
01/01/2020 07:00:00;*;*;1/1/2020 7:00;*;Sudeste/Centro-Oeste;*;*;5;33623,387
01/01/2020 08:00:00;*;*;1/1/2020 8:00;*;Sudeste/Centro-Oeste;*;*;5;34408,9295
01/01/2020 09:00:00;*;*;1/1/2020 9:00;*;Sudeste/Centro-Oeste;*;*;5;35340,8245
01/01/2020 10:00:00;*;*;1/1/2020 10:00;*;Sudeste/Centro-Oeste;*;*;5;36130,2525
01/01/2020 11:00:00;*;*;1/1/2020 11:00;*;Sudeste/Centro-Oeste;*;*;5;36396,336
01/01/2020 12:00:00;*;*;1/1/2020 12:00;*;Sudeste/Centro-Oeste;*;*;5;35949,9295
01/01/2020 13:00:00;*;*;1/1/2020 13:00;*;Sudeste/Centro-Oeste;*;*;5;35597,794
01/01/2020 14:00:00;*;*;1/1/2020 14:00;*;Sudeste/Centro-Oeste;*;*;5;35813,8245
01/01/2020 15:00:00;*;*;1/1/2020 15:00;*;Sudeste/Centro-Oeste;*;*;5;36241,7375
01/01/2020 16:00:00;*;*;1/1/2020 16:00;*;Sudeste/Centro-Oeste;*;*;5;37251,46
01/01/2020 17:00:00;*;*;1/1/2020 17:00;*;Sudeste/Centro-Oeste;*;*;5;38856,2385
01/01/2020 18:00:00;*;*;1/1/2020 18:00;*;Sudeste/Centro-Oeste;*;*;5;41187,818
01/01/2020 19:00:00;*;*;1/1/2020 19:00;*;Sudeste/Centro-Oeste;*;*;5;44062,802
01/01/2020 20:00:00;*;*;1/1/2020 20:00;*;Sudeste/Centro-Oeste;*;*;5;44890,5545
01/01/2020 21:00:00;*;*;1/1/2020 21:00;*;Sudeste/Centro-Oeste;*;*;5;45373,738
01/01/2020 22:00:00;*;*;1/1/2020 22:00;*;Sudeste/Centro-Oeste;*;*;5;45163,936
01/01/2020 23:00:00;*;*;1/1/2020 23:00;*;Sudeste/Centro-Oeste;*;*;5;43280,9085
02/01/2020 00:00:00;*;*;2/1/2020 0:00;*;Sudeste/Centro-Oeste;*;*;5;41511,226
02/01/2020 01:00:00;*;*;2/1/2020 1:00;*;Sudeste/Centro-Oeste;*;*;5;39701,931
02/01/2020 02:00:00;*;*;2/1/2020 2:00;*;Sudeste/Centro-Oeste;*;*;5;39008,291
02/01/2020 03:00:00;*;*;2/1/2020 3:00;*;Sudeste/Centro-Oeste;*;*;5;38320,712
02/01/2020 04:00:00;*;*;2/1/2020 4:00;*;Sudeste/Centro-Oeste;*;*;5;38012,836
02/01/2020 05:00:00;*;*;2/1/2020 5:00;*;Sudeste/Centro-Oeste;*;*;5;37426,999
02/01/2020 06:00:00;*;*;2/1/2020 6:00;*;Sudeste/Centro-Oeste;*;*;5;37890,661
02/01/2020 07:00:00;*;*;2/1/2020 7:00;*;Sudeste/Centro-Oeste;*;*;5;40640,626
02/01/2020 08:00:00;*;*;2/1/2020 8:00;*;Sudeste/Centro-Oeste;*;*;5;43678,552
02/01/2020 09:00:00;*;*;2/1/2020 9:00;*;Sudeste/Centro-Oeste;*;*;5;45262,741
02/01/2020 10:00:00;*;*;2/1/2020 10:00;*;Sudeste/Centro-Oeste;*;*;5;44947,482
02/01/2020 11:00:00;*;*;2/1/2020 11:00;*;Sudeste/Centro-Oeste;*;*;5;44601,503
02/01/2020 12:00:00;*;*;2/1/2020 12:00;*;Sudeste/Centro-Oeste;*;*;5;44270,48
02/01/2020 13:00:00;*;*;2/1/2020 13:00;*;Sudeste/Centro-Oeste;*;*;5;45297,592
02/01/2020 14:00:00;*;*;2/1/2020 14:00;*;Sudeste/Centro-Oeste;*;*;5;45261,175
02/01/2020 15:00:00;*;*;2/1/2020 15:00;*;Sudeste/Centro-Oeste;*;*;5;44750,267
02/01/2020 16:00:00;*;*;2/1/2020 16:00;*;Sudeste/Centro-Oeste;*;*;5;44573,658
02/01/2020 17:00:00;*;*;2/1/2020 17:00;*;Sudeste/Centro-Oeste;*;*;5;43553,284
02/01/2020 18:00:00;*;*;2/1/2020 18:00;*;Sudeste/Centro-Oeste;*;*;5;43174,485
02/01/2020 19:00:00;*;*;2/1/2020 19:00;*;Sudeste/Centro-Oeste;*;*;5;44795,607
02/01/2020 20:00:00;*;*;2/1/2020 20:00;*;Sudeste/Centro-Oeste;*;*;5;45907,941
02/01/2020 21:00:00;*;*;2/1/2020 21:00;*;Sudeste/Centro-Oeste;*;*;5;46788,431
02/01/2020 22:00:00;*;*;2/1/2020 22:00;*;Sudeste/Centro-Oeste;*;*;5;46612,263
02/01/2020 23:00:00;*;*;2/1/2020 23:00;*;Sudeste/Centro-Oeste;*;*;5;44553,784
03/01/2020 00:00:00;*;*;3/1/2020 0:00;*;Sudeste/Centro-Oeste;*;*;5;42963,784
03/01/2020 01:00:00;*;*;3/1/2020 1:00;*;Sudeste/Centro-Oeste;*;*;5;40688,218
03/01/2020 02:00:00;*;*;3/1/2020 2:00;*;Sudeste/Centro-Oeste;*;*;5;39314,468
03/01/2020 03:00:00;*;*;3/1/2020 3:00;*;Sudeste/Centro-Oeste;*;*;5;38539,745
03/01/2020 04:00:00;*;*;3/1/2020 4:00;*;Sudeste/Centro-Oeste;*;*;5;38366,052
03/01/2020 05:00:00;*;*;3/1/2020 5:00;*;Sudeste/Centro-Oeste;*;*;5;37443,926
03/01/2020 06:00:00;*;*;3/1/2020 6:00;*;Sudeste/Centro-Oeste;*;*;5;37643,621
03/01/2020 07:00:00;*;*;3/1/2020 7:00;*;Sudeste/Centro-Oeste;*;*;5;39926,938
03/01/2020 08:00:00;*;*;3/1/2020 8:00;*;Sudeste/Centro-Oeste;*;*;5;43155,987
03/01/2020 09:00:00;*;*;3/1/2020 9:00;*;Sudeste/Centro-Oeste;*;*;5;44445,608
03/01/2020 10:00:00;*;*;3/1/2020 10:00;*;Sudeste/Centro-Oeste;*;*;5;45258,54
03/01/2020 11:00:00;*;*;3/1/2020 11:00;*;Sudeste/Centro-Oeste;*;*;5;45184,899
03/01/2020 12:00:00;*;*;3/1/2020 12:00;*;Sudeste/Centro-Oeste;*;*;5;44635,908
03/01/2020 13:00:00;*;*;3/1/2020 13:00;*;Sudeste/Centro-Oeste;*;*;5;45529,792
03/01/2020 14:00:00;*;*;3/1/2020 14:00;*;Sudeste/Centro-Oeste;*;*;5;45452,343
03/01/2020 15:00:00;*;*;3/1/2020 15:00;*;Sudeste/Centro-Oeste;*;*;5;44908,2
03/01/2020 16:00:00;*;*;3/1/2020 16:00;*;Sudeste/Centro-Oeste;*;*;5;43796,218
03/01/2020 17:00:00;*;*;3/1/2020 17:00;*;Sudeste/Centro-Oeste;*;*;5;42671,204
03/01/2020 18:00:00;*;*;3/1/2020 18:00;*;Sudeste/Centro-Oeste;*;*;5;43426,954
03/01/2020 19:00:00;*;*;3/1/2020 19:00;*;Sudeste/Centro-Oeste;*;*;5;44942,881
03/01/2020 20:00:00;*;*;3/1/2020 20:00;*;Sudeste/Centro-Oeste;*;*;5;44934,596
03/01/2020 21:00:00;*;*;3/1/2020 21:00;*;Sudeste/Centro-Oeste;*;*;5;45164,712
03/01/2020 22:00:00;*;*;3/1/2020 22:00;*;Sudeste/Centro-Oeste;*;*;5;44484,469
03/01/2020 23:00:00;*;*;3/1/2020 23:00;*;Sudeste/Centro-Oeste;*;*;5;43686,926
04/01/2020 00:00:00;*;*;4/1/2020 0:00;*;Sudeste/Centro-Oeste;*;*;5;42085,166
04/01/2020 01:00:00;*;*;4/1/2020 1:00;*;Sudeste/Centro-Oeste;*;*;5;40137,752
04/01/2020 02:00:00;*;*;4/1/2020 2:00;*;Sudeste/Centro-Oeste;*;*;5;38743,996
04/01/2020 03:00:00;*;*;4/1/2020 3:00;*;Sudeste/Centro-Oeste;*;*;5;38018,555
04/01/2020 04:00:00;*;*;4/1/2020 4:00;*;Sudeste/Centro-Oeste;*;*;5;37500,608
04/01/2020 05:00:00;*;*;4/1/2020 5:00;*;Sudeste/Centro-Oeste;*;*;5;35928,154
04/01/2020 06:00:00;*;*;4/1/2020 6:00;*;Sudeste/Centro-Oeste;*;*;5;35590,451
04/01/2020 07:00:00;*;*;4/1/2020 7:00;*;Sudeste/Centro-Oeste;*;*;5;37212,331
04/01/2020 08:00:00;*;*;4/1/2020 8:00;*;Sudeste/Centro-Oeste;*;*;5;39482,945
04/01/2020 09:00:00;*;*;4/1/2020 9:00;*;Sudeste/Centro-Oeste;*;*;5;40891,982
04/01/2020 10:00:00;*;*;4/1/2020 10:00;*;Sudeste/Centro-Oeste;*;*;5;41336,155
04/01/2020 11:00:00;*;*;4/1/2020 11:00;*;Sudeste/Centro-Oeste;*;*;5;40776,584
04/01/2020 12:00:00;*;*;4/1/2020 12:00;*;Sudeste/Centro-Oeste;*;*;5;40385,138
04/01/2020 13:00:00;*;*;4/1/2020 13:00;*;Sudeste/Centro-Oeste;*;*;5;39786,063
04/01/2020 14:00:00;*;*;4/1/2020 14:00;*;Sudeste/Centro-Oeste;*;*;5;40381,692
04/01/2020 15:00:00;*;*;4/1/2020 15:00;*;Sudeste/Centro-Oeste;*;*;5;40505,158
04/01/2020 16:00:00;*;*;4/1/2020 16:00;*;Sudeste/Centro-Oeste;*;*;5;40356,715
04/01/2020 17:00:00;*;*;4/1/2020 17:00;*;Sudeste/Centro-Oeste;*;*;5;41043,221
04/01/2020 18:00:00;*;*;4/1/2020 18:00;*;Sudeste/Centro-Oeste;*;*;5;43436,418
04/01/2020 19:00:00;*;*;4/1/2020 19:00;*;Sudeste/Centro-Oeste;*;*;5;45896,212
04/01/2020 20:00:00;*;*;4/1/2020 20:00;*;Sudeste/Centro-Oeste;*;*;5;45164,795
04/01/2020 21:00:00;*;*;4/1/2020 21:00;*;Sudeste/Centro-Oeste;*;*;5;43806,683
04/01/2020 22:00:00;*;*;4/1/2020 22:00;*;Sudeste/Centro-Oeste;*;*;5;42632,378
04/01/2020 23:00:00;*;*;4/1/2020 23:00;*;Sudeste/Centro-Oeste;*;*;5;41383,256
05/01/2020 00:00:00;*;*;5/1/2020 0:00;*;Sudeste/Centro-Oeste;*;*;5;39491,528
05/01/2020 01:00:00;*;*;5/1/2020 1:00;*;Sudeste/Centro-Oeste;*;*;5;38078,438
05/01/2020 02:00:00;*;*;5/1/2020 2:00;*;Sudeste/Centro-Oeste;*;*;5;37063,028
05/01/2020 03:00:00;*;*;5/1/2020 3:00;*;Sudeste/Centro-Oeste;*;*;5;36033,86
05/01/2020 04:00:00;*;*;5/1/2020 4:00;*;Sudeste/Centro-Oeste;*;*;5;35089,571
05/01/2020 05:00:00;*;*;5/1/2020 5:00;*;Sudeste/Centro-Oeste;*;*;5;33708,502
05/01/2020 06:00:00;*;*;5/1/2020 6:00;*;Sudeste/Centro-Oeste;*;*;5;33054,917
05/01/2020 07:00:00;*;*;5/1/2020 7:00;*;Sudeste/Centro-Oeste;*;*;5;33406,947
05/01/2020 08:00:00;*;*;5/1/2020 8:00;*;Sudeste/Centro-Oeste;*;*;5;34285,023
05/01/2020 09:00:00;*;*;5/1/2020 9:00;*;Sudeste/Centro-Oeste;*;*;5;36190,198
05/01/2020 10:00:00;*;*;5/1/2020 10:00;*;Sudeste/Centro-Oeste;*;*;5;37117,952
05/01/2020 11:00:00;*;*;5/1/2020 11:00;*;Sudeste/Centro-Oeste;*;*;5;37302,899
05/01/2020 12:00:00;*;*;5/1/2020 12:00;*;Sudeste/Centro-Oeste;*;*;5;37215,001
05/01/2020 13:00:00;*;*;5/1/2020 13:00;*;Sudeste/Centro-Oeste;*;*;5;36590,475
05/01/2020 14:00:00;*;*;5/1/2020 14:00;*;Sudeste/Centro-Oeste;*;*;5;36468,289
05/01/2020 15:00:00;*;*;5/1/2020 15:00;*;Sudeste/Centro-Oeste;*;*;5;36549,69
05/01/2020 16:00:00;*;*;5/1/2020 16:00;*;Sudeste/Centro-Oeste;*;*;5;37185,296
05/01/2020 17:00:00;*;*;5/1/2020 17:00;*;Sudeste/Centro-Oeste;*;*;5;38918,814
05/01/2020 18:00:00;*;*;5/1/2020 18:00;*;Sudeste/Centro-Oeste;*;*;5;40657,111
05/01/2020 19:00:00;*;*;5/1/2020 19:00;*;Sudeste/Centro-Oeste;*;*;5;42613,722
05/01/2020 20:00:00;*;*;5/1/2020 20:00;*;Sudeste/Centro-Oeste;*;*;5;43289,189
05/01/2020 21:00:00;*;*;5/1/2020 21:00;*;Sudeste/Centro-Oeste;*;*;5;43405,504
05/01/2020 22:00:00;*;*;5/1/2020 22:00;*;Sudeste/Centro-Oeste;*;*;5;43240,483
05/01/2020 23:00:00;*;*;5/1/2020 23:00;*;Sudeste/Centro-Oeste;*;*;5;42105,623
06/01/2020 00:00:00;*;*;6/1/2020 0:00;*;Sudeste/Centro-Oeste;*;*;5;39412,585
06/01/2020 01:00:00;*;*;6/1/2020 1:00;*;Sudeste/Centro-Oeste;*;*;5;37839,328
06/01/2020 02:00:00;*;*;6/1/2020 2:00;*;Sudeste/Centro-Oeste;*;*;5;36498,734
06/01/2020 03:00:00;*;*;6/1/2020 3:00;*;Sudeste/Centro-Oeste;*;*;5;35864,904
06/01/2020 04:00:00;*;*;6/1/2020 4:00;*;Sudeste/Centro-Oeste;*;*;5;35750,999
06/01/2020 05:00:00;*;*;6/1/2020 5:00;*;Sudeste/Centro-Oeste;*;*;5;35014,972
06/01/2020 06:00:00;*;*;6/1/2020 6:00;*;Sudeste/Centro-Oeste;*;*;5;36067,874
06/01/2020 07:00:00;*;*;6/1/2020 7:00;*;Sudeste/Centro-Oeste;*;*;5;39807,495
06/01/2020 08:00:00;*;*;6/1/2020 8:00;*;Sudeste/Centro-Oeste;*;*;5;44226,864
06/01/2020 09:00:00;*;*;6/1/2020 9:00;*;Sudeste/Centro-Oeste;*;*;5;46836,951
